word,score,postags
hope,2.3006673061697365,"n, v"
health,2.3006673061697365,n
course,2.3006673061697365,"r, n, v"
news,2.3006673061697365,n
least,2.3006673061697365,"a, n, r"
post,2.3102477199975917,"n, v"
oh,2.3102477199975917,n
video,2.3102477199975917,n
local,2.3102477199975917,"a, n"
t,2.3102477199975917,n
young,2.3102477199975917,"s, a, n"
information,2.3102477199975917,n
book,2.3102477199975917,"n, v"
thanks,2.3102477199975917,"n, v"
social,2.320044251510242,"s, a, n"
talk,2.320044251510242,"n, v"
single,2.330066876668705,"s, a, n, v"
given,2.330066876668705,"s, n, v"
hand,2.330066876668705,"n, v"
mind,2.330066876668705,"n, v"
half,2.330066876668705,"s, a, n, r"
court,2.330066876668705,"n, v"
fact,2.330066876668705,n
level,2.330066876668705,"s, n, v"
control,2.340326278518962,"n, v"
death,2.340326278518962,n
office,2.340326278518962,n
food,2.340326278518962,n
body,2.340326278518962,"n, v"
true,2.340326278518962,"a, r, s, n, v"
coming,2.340326278518962,"s, n, v"
pay,2.340326278518962,"n, v"
guy,2.340326278518962,"n, v"
south,2.340326278518962,"a, n, r"
problem,2.340326278518962,n
large,2.3508339156354676,"s, a, n, r"
wrong,2.3508339156354676,"a, r, s, n, v"
lost,2.3508339156354676,"s, a, n, v"
win,2.3508339156354676,"n, v"
history,2.3508339156354676,n
m,2.3508339156354676,"s, n"
room,2.3508339156354676,"n, v"
university,2.3508339156354676,n
taking,2.3508339156354676,"s, n, v"
research,2.3508339156354676,"n, v"
matter,2.359788758288394,"n, v"
john,2.359788758288394,n
girl,2.359788758288394,n
saying,2.370784142589857,"n, v"
needs,2.370784142589857,"r, n, v"
hit,2.370784142589857,"n, v"
york,2.370784142589857,n
bit,2.370784142589857,"n, v"
air,2.370784142589857,"n, v"
nice,2.370784142589857,"s, a, n"
friend,2.370784142589857,n
close,2.380164517660112,"a, r, s, n, v"
idea,2.380164517660112,n
international,2.380164517660112,"s, a, n"
class,2.380164517660112,"n, v"
past,2.380164517660112,"s, a, n, r"
possible,2.380164517660112,"a, n"
comes,2.380164517660112,"n, v"
human,2.389751981665837,"a, n"
b,2.389751981665837,n
series,2.389751981665837,n
woman,2.389751981665837,n
wait,2.389751981665837,"n, v"
question,2.389751981665837,"n, v"
due,2.389751981665837,"s, a, n, r"
move,2.389751981665837,"n, v"
cause,2.389751981665837,"n, v"
r,2.389751981665837,n
watch,2.3995558851598817,"n, v"
leave,2.3995558851598817,"n, v"
saw,2.3995558851598817,"n, v"
community,2.3995558851598817,n
north,2.3995558851598817,"a, n, r"
special,2.3995558851598817,"s, n"
data,2.3995558851598817,n
light,2.4095862266508092,"a, r, s, n, v"
short,2.4095862266508092,"a, r, s, n, v"
stay,2.4095862266508092,"n, v"
morning,2.4095862266508092,n
police,2.4095862266508092,"n, v"
million,2.4095862266508092,"s, n"
low,2.4095862266508092,"a, r, s, n, v"
future,2.4095862266508092,"s, a, n"
c,2.4095862266508092,"s, n"
buy,2.419853713888945,"n, v"
turn,2.419853713888945,"n, v"
report,2.419853713888945,"n, v"
third,2.419853713888945,"s, n, r"
deal,2.419853713888945,"n, v"
reason,2.419853713888945,"n, v"
age,2.419853713888945,"n, v"
red,2.419853713888945,"s, n"
check,2.430369832574101,"n, v"
development,2.430369832574101,n
heart,2.430369832574101,n
form,2.430369832574101,"n, v"
media,2.438970004336019,n
child,2.438970004336019,n
major,2.438970004336019,"s, a, n, v"
act,2.438970004336019,"n, v"
living,2.438970004336019,"s, a, n, v"
fun,2.438970004336019,n
phone,2.438970004336019,"n, v"
fire,2.438970004336019,"n, v"
building,2.449965388637481,"n, v"
works,2.449965388637481,"n, v"
market,2.449965388637481,"n, v"
behind,2.449965388637481,"s, n, r"
west,2.449965388637481,"a, n, r"
six,2.449965388637481,"s, n"
plan,2.449965388637481,"n, v"
talking,2.449965388637481,"n, v"
art,2.449965388637481,n
education,2.458966632752272,n
son,2.458966632752272,n
front,2.458966632752272,"a, n, v"
kids,2.458966632752272,"n, v"
final,2.458966632752272,"s, n"
e,2.458966632752272,n
former,2.458966632752272,"s, a, n"
street,2.458966632752272,n
ready,2.458966632752272,"s, a, n, v"
list,2.458966632752272,"n, v"
college,2.4704870557820833,n
meet,2.4704870557820833,"s, n, v"
current,2.4704870557820833,"a, n"
experience,2.4704870557820833,"n, v"
type,2.4704870557820833,"n, v"
example,2.4704870557820833,n
program,2.4704870557820833,"n, v"
chance,2.479928612014925,"s, n, v"
baby,2.479928612014925,"n, v"
march,2.479928612014925,"n, v"
word,2.479928612014925,"n, v"
study,2.479928612014925,"n, v"
father,2.479928612014925,"n, v"
song,2.479928612014925,n
process,2.479928612014925,"n, v"
self,2.4895799976911057,"a, n"
month,2.4895799976911057,n
outside,2.4895799976911057,"s, a, n, r"
clear,2.4895799976911057,"a, r, s, n, v"
action,2.4895799976911057,"n, v"
board,2.4994507517174,"n, v"
moment,2.4994507517174,n
thinking,2.4994507517174,"s, n, v"
